id,text,entities,meta
18,Researcher David Wilson wrote about Star Wars.,"[{""start"": 0, ""end"": 10, ""label"": ""JOB""}, {""start"": 11, ""end"": 23, ""label"": ""PERSON""}, {""start"": 36, ""end"": 45, ""label"": ""WORKOFART""}]","{""source"": ""synthetic_job"", ""language"": ""en""}"
19,Amazon hired Maria Garcia as a Governor.,"[{""start"": 0, ""end"": 6, ""label"": ""ORGANIZATION""}, {""start"": 13, ""end"": 25, ""label"": ""PERSON""}, {""start"": 31, ""end"": 39, ""label"": ""JOB""}]","{""source"": ""synthetic_job"", ""language"": ""en""}"
20,Professor Ahmed Hassan wrote about Star Wars.,"[{""start"": 0, ""end"": 9, ""label"": ""JOB""}, {""start"": 10, ""end"": 22, ""label"": ""PERSON""}, {""start"": 35, ""end"": 44, ""label"": ""WORKOFART""}]","{""source"": ""synthetic_job"", ""language"": ""en""}"
21,Professor Michael Chen wrote about Breaking Bad.,"[{""start"": 0, ""end"": 9, ""label"": ""JOB""}, {""start"": 10, ""end"": 22, ""label"": ""PERSON""}, {""start"": 35, ""end"": 47, ""label"": ""WORKOFART""}]","{""source"": ""synthetic_job"", ""language"": ""en""}"
22,Chief Financial Officer Emma Brown joined Intel.,"[{""start"": 0, ""end"": 23, ""label"": ""JOB""}, {""start"": 24, ""end"": 34, ""label"": ""PERSON""}, {""start"": 42, ""end"": 47, ""label"": ""ORGANIZATION""}]","{""source"": ""synthetic_job"", ""language"": ""en""}"
23,Google hired Maria Garcia as a Professor.,"[{""start"": 0, ""end"": 6, ""label"": ""ORGANIZATION""}, {""start"": 13, ""end"": 25, ""label"": ""PERSON""}, {""start"": 31, ""end"": 40, ""label"": ""JOB""}]","{""source"": ""synthetic_job"", ""language"": ""en""}"
24,Researcher Robert Williams wrote about Breaking Bad.,"[{""start"": 0, ""end"": 10, ""label"": ""JOB""}, {""start"": 11, ""end"": 26, ""label"": ""PERSON""}, {""start"": 39, ""end"": 51, ""label"": ""WORKOFART""}]","{""source"": ""synthetic_job"", ""language"": ""en""}"
25,Siemens hired Fatima Al-Sayed as a Governor.,"[{""start"": 0, ""end"": 7, ""label"": ""ORGANIZATION""}, {""start"": 14, ""end"": 29, ""label"": ""PERSON""}, {""start"": 35, ""end"": 43, ""label"": ""JOB""}]","{""source"": ""synthetic_job"", ""language"": ""en""}"
26,Michael Chen was promoted to Chef this month.,"[{""start"": 0, ""end"": 12, ""label"": ""PERSON""}, {""start"": 29, ""end"": 33, ""label"": ""JOB""}, {""start"": 34, ""end"": 44, ""label"": ""TIMEDATE""}]","{""source"": ""synthetic_job"", ""language"": ""en""}"
27,Tesla hired Priya Sharma as a Financial Analyst.,"[{""start"": 0, ""end"": 5, ""label"": ""ORGANIZATION""}, {""start"": 12, ""end"": 24, ""label"": ""PERSON""}, {""start"": 30, ""end"": 47, ""label"": ""JOB""}]","{""source"": ""synthetic_job"", ""language"": ""en""}"
28,Marketing Manager Ahmed Hassan joined the World Bank.,"[{""start"": 0, ""end"": 17, ""label"": ""JOB""}, {""start"": 18, ""end"": 30, ""label"": ""PERSON""}, {""start"": 38, ""end"": 52, ""label"": ""ORGANIZATION""}]","{""source"": ""synthetic_job"", ""language"": ""en""}"
29,She became a Interpreter in Baku last Friday.,"[{""start"": 13, ""end"": 24, ""label"": ""JOB""}, {""start"": 28, ""end"": 32, ""label"": ""LOCATION""}, {""start"": 33, ""end"": 44, ""label"": ""TIMEDATE""}]","{""source"": ""synthetic_job"", ""language"": ""en""}"
30,Police Officer Priya Sharma joined the World Bank.,"[{""start"": 0, ""end"": 14, ""label"": ""JOB""}, {""start"": 15, ""end"": 27, ""label"": ""PERSON""}, {""start"": 35, ""end"": 49, ""label"": ""ORGANIZATION""}]","{""source"": ""synthetic_job"", ""language"": ""en""}"
31,Elena Petrova was promoted to Novelist last Friday.,"[{""start"": 0, ""end"": 13, ""label"": ""PERSON""}, {""start"": 30, ""end"": 38, ""label"": ""JOB""}, {""start"": 39, ""end"": 50, ""label"": ""TIMEDATE""}]","{""source"": ""synthetic_job"", ""language"": ""en""}"
32,Machine Learning Engineer Amanda Martinez designed Office 365.,"[{""start"": 0, ""end"": 25, ""label"": ""JOB""}, {""start"": 26, ""end"": 41, ""label"": ""PERSON""}, {""start"": 51, ""end"": 61, ""label"": ""PRODUCT""}]","{""source"": ""synthetic_job"", ""language"": ""en""}"
33,NASA hired Ahmed Hassan as a Deputy Minister.,"[{""start"": 0, ""end"": 4, ""label"": ""ORGANIZATION""}, {""start"": 11, ""end"": 23, ""label"": ""PERSON""}, {""start"": 29, ""end"": 44, ""label"": ""JOB""}]","{""source"": ""synthetic_job"", ""language"": ""en""}"
34,The Electrician at Siemens is based in Paris.,"[{""start"": 4, ""end"": 15, ""label"": ""JOB""}, {""start"": 19, ""end"": 26, ""label"": ""ORGANIZATION""}, {""start"": 39, ""end"": 44, ""label"": ""LOCATION""}]","{""source"": ""synthetic_job"", ""language"": ""en""}"
35,The Mayor at Boeing is based in Dubai.,"[{""start"": 4, ""end"": 9, ""label"": ""JOB""}, {""start"": 13, ""end"": 19, ""label"": ""ORGANIZATION""}, {""start"": 32, ""end"": 37, ""label"": ""LOCATION""}]","{""source"": ""synthetic_job"", ""language"": ""en""}"
36,Researcher John Doe wrote about The Great Gatsby.,"[{""start"": 0, ""end"": 10, ""label"": ""JOB""}, {""start"": 11, ""end"": 19, ""label"": ""PERSON""}, {""start"": 32, ""end"": 48, ""label"": ""WORKOFART""}]","{""source"": ""synthetic_job"", ""language"": ""en""}"
37,She became a Interpreter in Dubai since 2019.,"[{""start"": 13, ""end"": 24, ""label"": ""JOB""}, {""start"": 28, ""end"": 33, ""label"": ""LOCATION""}, {""start"": 34, ""end"": 44, ""label"": ""TIMEDATE""}]","{""source"": ""synthetic_job"", ""language"": ""en""}"
38,She became a Mechanic in Tokyo this month.,"[{""start"": 13, ""end"": 21, ""label"": ""JOB""}, {""start"": 25, ""end"": 30, ""label"": ""LOCATION""}, {""start"": 31, ""end"": 41, ""label"": ""TIMEDATE""}]","{""source"": ""synthetic_job"", ""language"": ""en""}"
39,The CEO at Boeing is based in Dubai.,"[{""start"": 4, ""end"": 7, ""label"": ""JOB""}, {""start"": 11, ""end"": 17, ""label"": ""ORGANIZATION""}, {""start"": 30, ""end"": 35, ""label"": ""LOCATION""}]","{""source"": ""synthetic_job"", ""language"": ""en""}"
40,A visit to Flatley Dam in Union County confirmed the alternate lifestyle Kohler maintained outside her role as a International Solutions Analyst at Harber Inc .,"[{""start"": 11, ""end"": 22, ""label"": ""LOCATION""}, {""start"": 26, ""end"": 38, ""label"": ""LOCATION""}, {""start"": 73, ""end"": 79, ""label"": ""PERSON""}, {""start"": 113, ""end"": 144, ""label"": ""JOB""}, {""start"": 148, ""end"": 158, ""label"": ""ORGANIZATION""}]","{""source"": ""balanced"", ""language"": ""en""}"
41,Head of Engineering Maria Garcia joined the World Bank.,"[{""start"": 0, ""end"": 19, ""label"": ""JOB""}, {""start"": 20, ""end"": 32, ""label"": ""PERSON""}, {""start"": 40, ""end"": 54, ""label"": ""ORGANIZATION""}]","{""source"": ""synthetic_job"", ""language"": ""en""}"
42,The Referee at Pfizer is based in New York.,"[{""start"": 4, ""end"": 11, ""label"": ""JOB""}, {""start"": 15, ""end"": 21, ""label"": ""ORGANIZATION""}, {""start"": 34, ""end"": 42, ""label"": ""LOCATION""}]","{""source"": ""synthetic_job"", ""language"": ""en""}"
43,Ahmed Hassan was promoted to Operations Manager last Friday.,"[{""start"": 0, ""end"": 12, ""label"": ""PERSON""}, {""start"": 29, ""end"": 47, ""label"": ""JOB""}, {""start"": 48, ""end"": 59, ""label"": ""TIMEDATE""}]","{""source"": ""synthetic_job"", ""language"": ""en""}"
44,She became a Economist in San Francisco this month.,"[{""start"": 13, ""end"": 22, ""label"": ""JOB""}, {""start"": 26, ""end"": 39, ""label"": ""LOCATION""}, {""start"": 40, ""end"": 50, ""label"": ""TIMEDATE""}]","{""source"": ""synthetic_job"", ""language"": ""en""}"
45,The Sales Director at Pfizer is based in Berlin.,"[{""start"": 4, ""end"": 18, ""label"": ""JOB""}, {""start"": 22, ""end"": 28, ""label"": ""ORGANIZATION""}, {""start"": 41, ""end"": 47, ""label"": ""LOCATION""}]","{""source"": ""synthetic_job"", ""language"": ""en""}"
46,Goldman Sachs hired Amanda Martinez as a Operations Manager.,"[{""start"": 0, ""end"": 13, ""label"": ""ORGANIZATION""}, {""start"": 20, ""end"": 35, ""label"": ""PERSON""}, {""start"": 41, ""end"": 59, ""label"": ""JOB""}]","{""source"": ""synthetic_job"", ""language"": ""en""}"
47,The Electrician at Amazon is based in San Francisco.,"[{""start"": 4, ""end"": 15, ""label"": ""JOB""}, {""start"": 19, ""end"": 25, ""label"": ""ORGANIZATION""}, {""start"": 38, ""end"": 51, ""label"": ""LOCATION""}]","{""source"": ""synthetic_job"", ""language"": ""en""}"
48,Emma Brown was promoted to Software Engineer last Friday.,"[{""start"": 0, ""end"": 10, ""label"": ""PERSON""}, {""start"": 27, ""end"": 44, ""label"": ""JOB""}, {""start"": 45, ""end"": 56, ""label"": ""TIMEDATE""}]","{""source"": ""synthetic_job"", ""language"": ""en""}"
49,Assistant Professor Tim Cook wrote about The Great Gatsby.,"[{""start"": 0, ""end"": 19, ""label"": ""JOB""}, {""start"": 20, ""end"": 28, ""label"": ""PERSON""}, {""start"": 41, ""end"": 57, ""label"": ""WORKOFART""}]","{""source"": ""synthetic_job"", ""language"": ""en""}"
50,the World Bank hired James Smith as a Pilot.,"[{""start"": 0, ""end"": 14, ""label"": ""ORGANIZATION""}, {""start"": 21, ""end"": 32, ""label"": ""PERSON""}, {""start"": 38, ""end"": 43, ""label"": ""JOB""}]","{""source"": ""synthetic_job"", ""language"": ""en""}"
51,Head of Engineering Kenji Tanaka joined the World Bank.,"[{""start"": 0, ""end"": 19, ""label"": ""JOB""}, {""start"": 20, ""end"": 32, ""label"": ""PERSON""}, {""start"": 40, ""end"": 54, ""label"": ""ORGANIZATION""}]","{""source"": ""synthetic_job"", ""language"": ""en""}"
52,The Assistant Professor at Google is based in Sydney.,"[{""start"": 4, ""end"": 23, ""label"": ""JOB""}, {""start"": 27, ""end"": 33, ""label"": ""ORGANIZATION""}, {""start"": 46, ""end"": 52, ""label"": ""LOCATION""}]","{""source"": ""synthetic_job"", ""language"": ""en""}"
53,Michael Chen was promoted to Civil Engineer since 2019.,"[{""start"": 0, ""end"": 12, ""label"": ""PERSON""}, {""start"": 29, ""end"": 43, ""label"": ""JOB""}, {""start"": 44, ""end"": 54, ""label"": ""TIMEDATE""}]","{""source"": ""synthetic_job"", ""language"": ""en""}"
54,Amanda Martinez is a Doctor.,"[{""start"": 0, ""end"": 15, ""label"": ""PERSON""}, {""start"": 21, ""end"": 27, ""label"": ""JOB""}]","{""source"": ""synthetic_job"", ""language"": ""en""}"
55,The Chief Executive Officer at Boeing is based in Paris.,"[{""start"": 4, ""end"": 27, ""label"": ""JOB""}, {""start"": 31, ""end"": 37, ""label"": ""ORGANIZATION""}, {""start"": 50, ""end"": 55, ""label"": ""LOCATION""}]","{""source"": ""synthetic_job"", ""language"": ""en""}"
56,Oxford University hired John Doe as a Head of Engineering.,"[{""start"": 0, ""end"": 17, ""label"": ""ORGANIZATION""}, {""start"": 24, ""end"": 32, ""label"": ""PERSON""}, {""start"": 38, ""end"": 57, ""label"": ""JOB""}]","{""source"": ""synthetic_job"", ""language"": ""en""}"
57,The Chief Executive Officer at Google is based in Boston.,"[{""start"": 4, ""end"": 27, ""label"": ""JOB""}, {""start"": 31, ""end"": 37, ""label"": ""ORGANIZATION""}, {""start"": 50, ""end"": 56, ""label"": ""LOCATION""}]","{""source"": ""synthetic_job"", ""language"": ""en""}"
58,Michael Chen is a Farmer.,"[{""start"": 0, ""end"": 12, ""label"": ""PERSON""}, {""start"": 18, ""end"": 24, ""label"": ""JOB""}]","{""source"": ""synthetic_job"", ""language"": ""en""}"
59,Fatima Al-Sayed is a Nurse.,"[{""start"": 0, ""end"": 15, ""label"": ""PERSON""}, {""start"": 21, ""end"": 26, ""label"": ""JOB""}]","{""source"": ""synthetic_job"", ""language"": ""en""}"
60,Aylin Mammadova is a Chef.,"[{""start"": 0, ""end"": 15, ""label"": ""PERSON""}, {""start"": 21, ""end"": 25, ""label"": ""JOB""}]","{""source"": ""synthetic_job"", ""language"": ""en""}"
61,Lawyers and Doctors attended the meeting.,"[{""start"": 0, ""end"": 7, ""label"": ""JOB""}, {""start"": 12, ""end"": 19, ""label"": ""JOB""}]","{""source"": ""synthetic_job"", ""language"": ""en""}"
62,"The Welder earns $5,000 per year.","[{""start"": 4, ""end"": 10, ""label"": ""JOB""}, {""start"": 17, ""end"": 23, ""label"": ""AMOUNT""}]","{""source"": ""synthetic_job"", ""language"": ""en""}"
63,"The Veterinarian earns $5,000 per year.","[{""start"": 4, ""end"": 16, ""label"": ""JOB""}, {""start"": 23, ""end"": 29, ""label"": ""AMOUNT""}]","{""source"": ""synthetic_job"", ""language"": ""en""}"
64,Architects and Presidents attended the meeting.,"[{""start"": 0, ""end"": 10, ""label"": ""JOB""}, {""start"": 15, ""end"": 25, ""label"": ""JOB""}]","{""source"": ""synthetic_job"", ""language"": ""en""}"
65,Fatima Al-Sayed is a General Manager.,"[{""start"": 0, ""end"": 15, ""label"": ""PERSON""}, {""start"": 21, ""end"": 36, ""label"": ""JOB""}]","{""source"": ""synthetic_job"", ""language"": ""en""}"
66,Ahmed Hassan is a Marketing Manager.,"[{""start"": 0, ""end"": 12, ""label"": ""PERSON""}, {""start"": 18, ""end"": 35, ""label"": ""JOB""}]","{""source"": ""synthetic_job"", ""language"": ""en""}"
67,Economists and Conductors attended the meeting.,"[{""start"": 0, ""end"": 10, ""label"": ""JOB""}, {""start"": 15, ""end"": 25, ""label"": ""JOB""}]","{""source"": ""synthetic_job"", ""language"": ""en""}"
68,Amanda Martinez is a Chief Executive Officer.,"[{""start"": 0, ""end"": 15, ""label"": ""PERSON""}, {""start"": 21, ""end"": 44, ""label"": ""JOB""}]","{""source"": ""synthetic_job"", ""language"": ""en""}"
69,Robert Williams is a Business Intelligence Director.,"[{""start"": 0, ""end"": 15, ""label"": ""PERSON""}, {""start"": 21, ""end"": 51, ""label"": ""JOB""}]","{""source"": ""synthetic_job"", ""language"": ""en""}"
70,The Police Officer earns 15% per year.,"[{""start"": 4, ""end"": 18, ""label"": ""JOB""}, {""start"": 25, ""end"": 28, ""label"": ""AMOUNT""}]","{""source"": ""synthetic_job"", ""language"": ""en""}"
71,The Professor earns $250 million per year.,"[{""start"": 4, ""end"": 13, ""label"": ""JOB""}, {""start"": 20, ""end"": 32, ""label"": ""AMOUNT""}]","{""source"": ""synthetic_job"", ""language"": ""en""}"
72,Tim Cook is a Chief Financial Officer.,"[{""start"": 0, ""end"": 8, ""label"": ""PERSON""}, {""start"": 14, ""end"": 37, ""label"": ""JOB""}]","{""source"": ""synthetic_job"", ""language"": ""en""}"
73,Financial Analysts and Diplomats attended the meeting.,"[{""start"": 0, ""end"": 18, ""label"": ""JOB""}, {""start"": 23, ""end"": 32, ""label"": ""JOB""}]","{""source"": ""synthetic_job"", ""language"": ""en""}"
74,Research Scientists and Waiters attended the meeting.,"[{""start"": 0, ""end"": 19, ""label"": ""JOB""}, {""start"": 24, ""end"": 31, ""label"": ""JOB""}]","{""source"": ""synthetic_job"", ""language"": ""en""}"
75,Diplomats and Data Scientists attended the meeting.,"[{""start"": 0, ""end"": 9, ""label"": ""JOB""}, {""start"": 14, ""end"": 29, ""label"": ""JOB""}]","{""source"": ""synthetic_job"", ""language"": ""en""}"
76,"For the coming fiscal quarter , our Assurance in Andreanneboro expects a rise in sales by about $ 784,700.78 .","[{""start"": 36, ""end"": 45, ""label"": ""JOB""}, {""start"": 49, ""end"": 70, ""label"": ""LOCATION""}, {""start"": 98, ""end"": 108, ""label"": ""AMOUNT""}]","{""source"": ""balanced"", ""language"": ""en""}"
77,Statisticians and Senior Software Engineers attended the meeting.,"[{""start"": 0, ""end"": 13, ""label"": ""JOB""}, {""start"": 18, ""end"": 43, ""label"": ""JOB""}]","{""source"": ""synthetic_job"", ""language"": ""en""}"
78,Lead Engineers and Pediatric Surgeons attended the meeting.,"[{""start"": 0, ""end"": 14, ""label"": ""JOB""}, {""start"": 19, ""end"": 37, ""label"": ""JOB""}]","{""source"": ""synthetic_job"", ""language"": ""en""}"
79,The Architect earns 3.5 million euros per year.,"[{""start"": 4, ""end"": 13, ""label"": ""JOB""}, {""start"": 20, ""end"": 37, ""label"": ""AMOUNT""}]","{""source"": ""synthetic_job"", ""language"": ""en""}"
80,"The Research Scientist earns 50,000 dollars per year.","[{""start"": 4, ""end"": 22, ""label"": ""JOB""}, {""start"": 29, ""end"": 43, ""label"": ""AMOUNT""}]","{""source"": ""synthetic_job"", ""language"": ""en""}"
81,The Assistant Professor earns $250 million per year.,"[{""start"": 4, ""end"": 23, ""label"": ""JOB""}, {""start"": 30, ""end"": 42, ""label"": ""AMOUNT""}]","{""source"": ""synthetic_job"", ""language"": ""en""}"
82,The Firefighter earns 3.5 million euros per year.,"[{""start"": 4, ""end"": 15, ""label"": ""JOB""}, {""start"": 22, ""end"": 39, ""label"": ""AMOUNT""}]","{""source"": ""synthetic_job"", ""language"": ""en""}"
83,"I'm Bobby from Prohaska Inc , Quality . We need your device for our operations urgently . Can we expedite the order ?","[{""start"": 4, ""end"": 9, ""label"": ""PERSON""}, {""start"": 24, ""end"": 27, ""label"": ""LOCATION""}, {""start"": 30, ""end"": 37, ""label"": ""JOB""}]","{""source"": ""balanced"", ""language"": ""en""}"
84,We've outsourced Security to an external team as discussed. Please transfer 884k Tunisian Dinar into the account provided.,"[{""start"": 17, ""end"": 25, ""label"": ""JOB""}, {""start"": 76, ""end"": 80, ""label"": ""AMOUNT""}]","{""source"": ""balanced"", ""language"": ""en""}"
85,"Vandals strike as village prepares to honour war dead . Not known if memorial can be repaired by Remembrance Day . Businessman places £1,000 bounty on heads of culprits .","[{""start"": 115, ""end"": 126, ""label"": ""JOB""}, {""start"": 134, ""end"": 140, ""label"": ""AMOUNT""}]","{""source"": ""balanced"", ""language"": ""en""}"
86,Alternatives include: Allegro Arcade Library Gamemaker: Studio Godot Engine LOVE Pyglet Python Play Polycode Or switch to Java for advanced mobile games.,"[{""start"": 30, ""end"": 44, ""label"": ""PRODUCT""}, {""start"": 56, ""end"": 62, ""label"": ""PRODUCT""}, {""start"": 63, ""end"": 75, ""label"": ""PRODUCT""}, {""start"": 76, ""end"": 80, ""label"": ""PRODUCT""}, {""start"": 81, ""end"": 87, ""label"": ""PRODUCT""}, {""start"": 88, ""end"": 99, ""label"": ""PRODUCT""}, {""start"": 100, ""end"": 108, ""label"": ""PRODUCT""}, {""start"": 122, ""end"": 126, ""label"": ""PRODUCT""}]","{""source"": ""balanced"", ""language"": ""en""}"
87,"Good over-the-counter antihistamines include Benadryl, Claritin, Chlor-Trimeton, Clarinex, Allegra, and Zyrtec, among others. For nasal decongestants, you might be interested in Afrin, Sudafed, and store brands OTC nasal sprays.","[{""start"": 45, ""end"": 53, ""label"": ""WORKOFART""}, {""start"": 55, ""end"": 63, ""label"": ""PRODUCT""}, {""start"": 65, ""end"": 79, ""label"": ""PRODUCT""}, {""start"": 81, ""end"": 89, ""label"": ""PRODUCT""}, {""start"": 91, ""end"": 98, ""label"": ""PRODUCT""}, {""start"": 104, ""end"": 110, ""label"": ""PRODUCT""}, {""start"": 178, ""end"": 183, ""label"": ""PRODUCT""}, {""start"": 185, ""end"": 192, ""label"": ""PRODUCT""}]","{""source"": ""balanced"", ""language"": ""en""}"
88,"Sure, here are some recommendations: - Photoshop - Gimp - Paint - Sketch - Adobe Illustrator - Affinity Designer - Affinity Photo","[{""start"": 51, ""end"": 55, ""label"": ""PRODUCT""}, {""start"": 58, ""end"": 63, ""label"": ""PRODUCT""}, {""start"": 66, ""end"": 72, ""label"": ""PRODUCT""}, {""start"": 75, ""end"": 80, ""label"": ""PRODUCT""}, {""start"": 81, ""end"": 92, ""label"": ""PRODUCT""}, {""start"": 95, ""end"": 112, ""label"": ""PRODUCT""}, {""start"": 115, ""end"": 129, ""label"": ""PRODUCT""}]","{""source"": ""balanced"", ""language"": ""en""}"
89,"The Boeing 727, en route to Honduras from Costa Rica via Nicaragua, smashed into the hills outside Tegucigalpa as it approached the capital's airport in high winds and low clouds.","[{""start"": 4, ""end"": 10, ""label"": ""ORGANIZATION""}, {""start"": 11, ""end"": 14, ""label"": ""PRODUCT""}, {""start"": 28, ""end"": 36, ""label"": ""LOCATION""}, {""start"": 42, ""end"": 52, ""label"": ""LOCATION""}, {""start"": 57, ""end"": 66, ""label"": ""LOCATION""}, {""start"": 99, ""end"": 110, ""label"": ""LOCATION""}, {""start"": 132, ""end"": 139, ""label"": ""LOCATION""}]","{""source"": ""ontonotes5"", ""language"": ""en""}"
90,"Nissan says it will introduce its first system next month on the Infiniti Q45 luxury sedan, and Toyota's Celica coupe will go on sale with the suspension device next spring.","[{""start"": 0, ""end"": 6, ""label"": ""ORGANIZATION""}, {""start"": 47, ""end"": 57, ""label"": ""TIMEDATE""}, {""start"": 65, ""end"": 73, ""label"": ""ORGANIZATION""}, {""start"": 74, ""end"": 77, ""label"": ""PRODUCT""}, {""start"": 96, ""end"": 102, ""label"": ""ORGANIZATION""}, {""start"": 105, ""end"": 111, ""label"": ""PRODUCT""}, {""start"": 161, ""end"": 172, ""label"": ""TIMEDATE""}]","{""source"": ""ontonotes5"", ""language"": ""en""}"
