unique_index,source_text,privacy_mask
10,"The schedule is rigorous and exhausting: wake up at 6:00 AM, get ready, study the scriptures for an hour or so, then it's out into the street, knocking doors, keeping appointments, teaching lessons to people, performing service (helping old people with gardening, painting people's houses, helping people move, just whatever kind of help people might have), delivering media people have requested (like if you've ever seen those commercials the church has where people can call a number and request a free video or Bible or Book of Mormon or something), etc. You basically work as hard as you can all day, then fall exhausted into bed about 10:30 and do it all again the next day. After a few months I was asked to serve in leadership positions (they're are ""District Leaders"" and ""Zone Leaders"" who oversee other missionaries in their areas) so I had all of my regular missionary duties as well as keeping tabs on the needs of the other men and women (Elders and Sisters, as we called each other) in addition. You don't have anything: a suitcase containing a bunch of dark slacks and white shirts and ties, your scriptures and journal, maybe a few personal things, and that's it. You spend every minute outside of the bathroom with another missionary whom you've never met before (I was lucky, though, as my companions were all really great guys).","[{""start"": 52, ""end"": 59, ""label"": ""TIMEDATE"", ""value"": ""6:00 AM""}, {""start"": 97, ""end"": 110, ""label"": ""TIMEDATE"", ""value"": ""an hour or so""}, {""start"": 413, ""end"": 417, ""label"": ""TIMEDATE"", ""value"": ""ever""}, {""start"": 515, ""end"": 520, ""label"": ""WORKOFART"", ""value"": ""Bible""}, {""start"": 524, ""end"": 538, ""label"": ""WORKOFART"", ""value"": ""Book of Mormon""}, {""start"": 597, ""end"": 604, ""label"": ""TIMEDATE"", ""value"": ""all day""}, {""start"": 641, ""end"": 646, ""label"": ""TIMEDATE"", ""value"": ""10:30""}, {""start"": 671, ""end"": 679, ""label"": ""TIMEDATE"", ""value"": ""next day""}, {""start"": 687, ""end"": 699, ""label"": ""TIMEDATE"", ""value"": ""a few months""}, {""start"": 759, ""end"": 775, ""label"": ""JOB"", ""value"": ""District Leaders""}, {""start"": 782, ""end"": 794, ""label"": ""JOB"", ""value"": ""Zone Leaders""}, {""start"": 814, ""end"": 826, ""label"": ""JOB"", ""value"": ""missionaries""}, {""start"": 870, ""end"": 880, ""label"": ""JOB"", ""value"": ""missionary""}, {""start"": 953, ""end"": 959, ""label"": ""JOB"", ""value"": ""Elders""}, {""start"": 964, ""end"": 971, ""label"": ""JOB"", ""value"": ""Sisters""}, {""start"": 1191, ""end"": 1203, ""label"": ""TIMEDATE"", ""value"": ""every minute""}, {""start"": 1241, ""end"": 1251, ""label"": ""JOB"", ""value"": ""missionary""}, {""start"": 1264, ""end"": 1269, ""label"": ""TIMEDATE"", ""value"": ""never""}, {""start"": 1274, ""end"": 1280, ""label"": ""TIMEDATE"", ""value"": ""before""}]"
11,"For a film clocking in at 3 hours and 20 minutes, there's really an awful lot of bland, generic scenes where two or three characters discuss the most obvious things and feelings; not a whole lot of subtext going on, chunks of dialogue delivered right on the nose - a major faux-pas for any storyteller that makes the story crawl to a gruelling halt. br />br />Frankly, the movie is melodramatic enough to constitute somewhat of a genre anachronism; it would have made much more sense coming out in 1949 instead of 1959. All this with Akira Kurosawa's YOJIMBO, the movie responsible for both revolutionizing the Japanese period drama and action movie and bringing the concept of the alienated antihero to new cynic heights, only two years away.br />br />And speaking of protagonists, it's Kaji, the main character we're called to identify with, played by samurai icon Tatsuya Nakadai before he was even a supporting actor in Yojimbo, that poses the biggest problem. His attitude and worldview of unconditional humanism are all too naive and convenient to hit the right emotional chords. Idenitifying with Kaji's holier-than-thou idealism is hard, not because people like him don't exist in real life, and I hope they do, but simply because this kind of clean-cut idealist character doesn't fare well in a dramatic context.br />br />Bear with me here.","[{""start"": 26, ""end"": 48, ""label"": ""AMOUNT"", ""value"": ""3 hours and 20 minutes""}, {""start"": 109, ""end"": 112, ""label"": ""AMOUNT"", ""value"": ""two""}, {""start"": 116, ""end"": 121, ""label"": ""AMOUNT"", ""value"": ""three""}, {""start"": 290, ""end"": 301, ""label"": ""JOB"", ""value"": ""storyteller""}, {""start"": 498, ""end"": 502, ""label"": ""TIMEDATE"", ""value"": ""1949""}, {""start"": 514, ""end"": 518, ""label"": ""TIMEDATE"", ""value"": ""1959""}, {""start"": 534, ""end"": 548, ""label"": ""PERSON"", ""value"": ""Akira Kurosawa""}, {""start"": 551, ""end"": 558, ""label"": ""WORKOFART"", ""value"": ""YOJIMBO""}, {""start"": 728, ""end"": 742, ""label"": ""TIMEDATE"", ""value"": ""two years away""}, {""start"": 788, ""end"": 792, ""label"": ""PERSON"", ""value"": ""Kaji""}, {""start"": 867, ""end"": 882, ""label"": ""PERSON"", ""value"": ""Tatsuya Nakadai""}, {""start"": 904, ""end"": 920, ""label"": ""JOB"", ""value"": ""supporting actor""}, {""start"": 924, ""end"": 931, ""label"": ""WORKOFART"", ""value"": ""Yojimbo""}, {""start"": 1104, ""end"": 1108, ""label"": ""PERSON"", ""value"": ""Kaji""}]"
12,"If I were to write a Bukkit Minecraft Plugin in the Java Programming Language, what methods would my Main class require?","[{""start"": 28, ""end"": 37, ""label"": ""PRODUCT"", ""value"": ""Minecraft""}, {""start"": 52, ""end"": 56, ""label"": ""PRODUCT"", ""value"": ""Java""}]"
13,ikr rly?? try to find ur sigma squad on discord or something u can be a high-key low-key introvert and still slay btw lol,"[{""start"": 40, ""end"": 47, ""label"": ""PRODUCT"", ""value"": ""discord""}]"
14,What might I miss out on by choosing Django or Flask compared to the other one? Will it matter if my site gets very popular?,"[{""start"": 37, ""end"": 43, ""label"": ""PRODUCT"", ""value"": ""Django""}, {""start"": 47, ""end"": 52, ""label"": ""PRODUCT"", ""value"": ""Flask""}]"
15,"Sure, here are some recommendations: - Photoshop - Gimp - Paint - Sketch - Adobe Illustrator - Affinity Designer - Affinity Photo","[{""start"": 51, ""end"": 55, ""label"": ""PRODUCT"", ""value"": ""Gimp""}, {""start"": 58, ""end"": 63, ""label"": ""PRODUCT"", ""value"": ""Paint""}, {""start"": 66, ""end"": 72, ""label"": ""PRODUCT"", ""value"": ""Sketch""}, {""start"": 75, ""end"": 80, ""label"": ""PRODUCT"", ""value"": ""Adobe""}, {""start"": 81, ""end"": 92, ""label"": ""PRODUCT"", ""value"": ""Illustrator""}, {""start"": 95, ""end"": 112, ""label"": ""PRODUCT"", ""value"": ""Affinity Designer""}, {""start"": 115, ""end"": 129, ""label"": ""PRODUCT"", ""value"": ""Affinity Photo""}]"
16,A Guided Advanced Tactical Rocket (GATR) is a low-cost guided missile equipped with a steel-cased M282 warhead and a programmable fuze.,"[{""start"": 2, ""end"": 33, ""label"": ""PRODUCT"", ""value"": ""Guided Advanced Tactical Rocket""}, {""start"": 35, ""end"": 39, ""label"": ""PRODUCT"", ""value"": ""GATR""}, {""start"": 98, ""end"": 110, ""label"": ""PRODUCT"", ""value"": ""M282 warhead""}]"
17,"the average price displayed for a wine is based on prices submitted by vivino users and , if available , prices from online retailers .","[{""start"": 71, ""end"": 77, ""label"": ""PRODUCT"", ""value"": ""vivino""}]"
18,could you write the beginning of a new D&D campaign that I can show to my friends. It should leave questions unanswered to entice them.,"[{""start"": 39, ""end"": 42, ""label"": ""PRODUCT"", ""value"": ""D&D""}]"
19,"time to motivate.. lets hope my skillz aren't too rusty. 4 months since i've touched illustrator .. its like riding a bicycle, nvr forget","[{""start"": 57, ""end"": 65, ""label"": ""AMOUNT"", ""value"": ""4 months""}, {""start"": 85, ""end"": 96, ""label"": ""PRODUCT"", ""value"": ""illustrator""}]"
20,lol dont even get me started on prodn apps?? i'm literallyyyy addicted to habitica bc it's soooo pretty and has teh cutest animations!! !1!,"[{""start"": 74, ""end"": 82, ""label"": ""PRODUCT"", ""value"": ""habitica""}]"
21,Apache Impala is an open source massively parallel processing SQL query engine for data stored in a computer cluster running Apache Hadoop.,"[{""start"": 0, ""end"": 13, ""label"": ""PRODUCT"", ""value"": ""Apache Impala""}, {""start"": 62, ""end"": 65, ""label"": ""PRODUCT"", ""value"": ""SQL""}, {""start"": 125, ""end"": 138, ""label"": ""PRODUCT"", ""value"": ""Apache Hadoop""}]"
22,Precision engineering ensures very best sound for price . Powerful bass - especially through the mid-range . Anti-tangle cable is coated in Kevlar .,"[{""start"": 140, ""end"": 146, ""label"": ""PRODUCT"", ""value"": ""Kevlar""}]"
23,Alternatives include: Allegro Arcade Library Gamemaker: Studio Godot Engine LOVE Pyglet Python Play Polycode Or switch to Java for advanced mobile games.,"[{""start"": 30, ""end"": 44, ""label"": ""PRODUCT"", ""value"": ""Arcade Library""}, {""start"": 56, ""end"": 62, ""label"": ""PRODUCT"", ""value"": ""Studio""}, {""start"": 63, ""end"": 75, ""label"": ""PRODUCT"", ""value"": ""Godot Engine""}, {""start"": 76, ""end"": 80, ""label"": ""PRODUCT"", ""value"": ""LOVE""}, {""start"": 81, ""end"": 87, ""label"": ""PRODUCT"", ""value"": ""Pyglet""}, {""start"": 88, ""end"": 99, ""label"": ""PRODUCT"", ""value"": ""Python Play""}, {""start"": 100, ""end"": 108, ""label"": ""PRODUCT"", ""value"": ""Polycode""}, {""start"": 122, ""end"": 126, ""label"": ""PRODUCT"", ""value"": ""Java""}]"
24,"- Lego
- Dead mouse
- Slug
- Dog poop
- Matchbox cars
- Glass
- Rusty Nail
- Thumbtack
- Ice
- Plastic green army men","[{""start"": 2, ""end"": 6, ""label"": ""PRODUCT"", ""value"": ""Lego""}, {""start"": 40, ""end"": 53, ""label"": ""PRODUCT"", ""value"": ""Matchbox cars""}]"
25,"blizzard entertainment may , in its sole and absolute discretion , take whatever action it deems necessary to preserve the integrity of world of warcraft .","[{""start"": 0, ""end"": 22, ""label"": ""ORGANIZATION"", ""value"": ""blizzard entertainment""}, {""start"": 136, ""end"": 153, ""label"": ""PRODUCT"", ""value"": ""world of warcraft""}]"
26,Suvir Mirchandani measured ink used in typefaces and found Garamond was most cost-effective . Teenager came up with the idea for his school science project .,"[{""start"": 0, ""end"": 17, ""label"": ""PERSON"", ""value"": ""Suvir Mirchandani""}, {""start"": 59, ""end"": 67, ""label"": ""WORKOFART"", ""value"": ""Garamond""}]"
27,The Executioner Bug Zapper Racket is a battery-operated fly swatter . It's cruel but fairly effective . Other useful products include candles which repel inspects .,"[{""start"": 0, ""end"": 33, ""label"": ""WORKOFART"", ""value"": ""The Executioner Bug Zapper Racket""}]"
28,"illegal , harassing , hateful , defamatory , embarrassing , offensive , obscene , sexually explicit or otherwise objectionable actions performed with the nintendo account ;",[]
29,Refrain from sharing 3339 or 483 on conspicuous platforms.,"[{""start"": 29, ""end"": 32, ""label"": ""AMOUNT"", ""value"": ""483""}]"
30,Assigned to Male patient in the primary care department who stands 3 feet 1 inches .,"[{""start"": 67, ""end"": 68, ""label"": ""AMOUNT"", ""value"": ""3""}, {""start"": 74, ""end"": 75, ""label"": ""AMOUNT"", ""value"": ""1""}]"
31,Arbitration process for Investment Account has upheld Ms. Charlie 's complaint to STN 0.22m .,"[{""start"": 58, ""end"": 65, ""label"": ""PERSON"", ""value"": ""Charlie""}, {""start"": 86, ""end"": 91, ""label"": ""AMOUNT"", ""value"": ""0.22m""}]"
32,@xbllygbsn whats 27� ? :$ oh shh dont need to lose anything hahaa ;) lucky ;) im away in like 10mins,"[{""start"": 1, ""end"": 10, ""label"": ""PERSON"", ""value"": ""xbllygbsn""}, {""start"": 94, ""end"": 100, ""label"": ""TIMEDATE"", ""value"": ""10mins""}]"
33,"For the coming fiscal quarter , our Assurance in Andreanneboro expects a rise in sales by about $ 784,700.78 .","[{""start"": 49, ""end"": 62, ""label"": ""LOCATION"", ""value"": ""Andreanneboro""}, {""start"": 98, ""end"": 108, ""label"": ""AMOUNT"", ""value"": ""784,700.78""}]"
34,"Hello Katelynn , Medical Training course requires you to make a payment of 150 . Process the payment at your earliest .","[{""start"": 6, ""end"": 14, ""label"": ""PERSON"", ""value"": ""Katelynn""}, {""start"": 109, ""end"": 117, ""label"": ""TIMEDATE"", ""value"": ""earliest""}]"
35,We've outsourced Security to an external team as discussed. Please transfer 884k Tunisian Dinar into the account provided.,"[{""start"": 76, ""end"": 80, ""label"": ""AMOUNT"", ""value"": ""884k""}]"
36,The Privacy Law safeguards the end-users' data; regulations state that the sharing of one's 931 and Genderflux is prohibited unless expressly allowed.,"[{""start"": 92, ""end"": 95, ""label"": ""AMOUNT"", ""value"": ""931""}]"
37,"The five pillars of Islam are Shahadah (profession of faith), Salat (prayer), Zakat (alms-giving), Sawm (fasting during Ramadan), and Hajj (pilgrimage to Mecca).","[{""start"": 4, ""end"": 8, ""label"": ""TIMEDATE"", ""value"": ""five""}, {""start"": 120, ""end"": 127, ""label"": ""TIMEDATE"", ""value"": ""Ramadan""}, {""start"": 154, ""end"": 159, ""label"": ""LOCATION"", ""value"": ""Mecca""}]"
38,"We're organizing an Arts in Education event 89.2105,41.0809 . It's sponsored by Savings Account . They donated RM 1.2 million for this. Expect stellar performances.","[{""start"": 80, ""end"": 95, ""label"": ""ORGANIZATION"", ""value"": ""Savings Account""}, {""start"": 114, ""end"": 125, ""label"": ""AMOUNT"", ""value"": ""1.2 million""}]"
